File                                sources  ra_min      ra_max      dec_min     dec_max
GaiaSource_100752-101392.csv.fapec  517836   101.257633  113.368742  27.288679   35.680436
GaiaSource_101393-102417.csv.fapec  521699   106.886681  124.799728  30.014948   41.801097
GaiaSource_102418-104416.csv.fapec  528464   118.131565  134.990143  30.705364   47.343986
GaiaSource_104417-106070.csv.fapec  524496   112.508663  129.459575  35.694339   51.242427
GaiaSource_106071-106913.csv.fapec  519233   98.440950   124.598446  30.017128   54.317149
GaiaSource_106914-107444.csv.fapec  517775   95.634243   105.460713  32.808012   40.217418
GaiaSource_107445-108275.csv.fapec  521243   99.148779   112.491049  35.696593   44.977706
GaiaSource_108276-108847.csv.fapec  525442   92.816370   107.988479  35.688740   48.123365
GaiaSource_108848-109292.csv.fapec  526823   90.000044   101.244205  38.688050   44.990265
GaiaSource_109293-109810.csv.fapec  525924   90.000040   101.992328  41.814987   48.128528
GaiaSource_109811-110424.csv.fapec  527137   89.999972   102.850311  44.995907   51.633485
GaiaSource_110425-111409.csv.fapec  522189   89.999967   115.706755  41.822486   54.336961
GaiaSource_111410-112700.csv.fapec  528295   100.006354  119.988994  48.143334   60.427335
GaiaSource_112701-113459.csv.fapec  521279   89.999719   104.986167  49.711954   57.392487
GaiaSource_113460-114328.csv.fapec  517572   89.999846   107.983562  54.349142   63.441468
GaiaSource_114329-116223.csv.fapec  532515   89.999914   149.989820  41.814957   66.438862
GaiaSource_116224-118619.csv.fapec  541518   120.006771  147.244144  48.155370   63.813894
GaiaSource_118620-121499.csv.fapec  544980   130.012617  179.999939  54.354468   72.364942
GaiaSource_121500-123646.csv.fapec  532079   108.003280  179.999559  54.351965   78.264786
GaiaSource_123647-125199.csv.fapec  529529   100.011558  134.988213  60.442051   72.384958
GaiaSource_125200-126263.csv.fapec  523242   89.999697   117.655122  63.465715   72.375902
GaiaSource_126264-127785.csv.fapec  526728   90.000019   149.979884  66.459080   78.260266
GaiaSource_127786-129587.csv.fapec  529404   100.046606  180.000500  72.394726   84.129224
GaiaSource_129588-131010.csv.fapec  522171   90.000193   180.002980  76.819045   88.529417
GaiaSource_131011-132722.csv.fapec  528014   90.008951   236.232959  0.004662    89.963486
GaiaSource_132723-134879.csv.fapec  537300   213.768678  233.425921  4.805873    16.947010
GaiaSource_134880-136450.csv.fapec  526077   220.804893  245.037357  9.607009    19.463993
GaiaSource_136451-138123.csv.fapec  529530   225.004776  247.493717  14.486207   24.602662
GaiaSource_138124-140299.csv.fapec  542705   208.148742  241.860383  9.616642    29.985125
GaiaSource_140300-143213.csv.fapec  555090   202.519421  224.992763  14.492835   27.936553
