 oidref |                 id                 
643052  |"NAME OKM2018 SWIFT J0325.4-0619"   
643052  |"Gaia DR3 5169739915289690752"      
643684  |"Gaia DR3 5164707970261890560"      
643684  |"HIP  16537"                        
643684  |"NAME Ran"                          
656505  |"Gaia DR3 4854740244935119616"      
656505  |"NAME Fornax B"                     
658407  |"HIP  17448"                        
658407  |"NAME Atik"                         
660229  |"Gaia DR3 216708248573262208"       
660229  |"NAME Dust-Ball"                    
660989  |"Gaia DR3 65247704349267584"        
660989  |"NAME 1RXS J034412.1+240200SE"      
660990  |"Gaia DR3 65248460263511552"        
660990  |"NAME 1RXS J034412.1+240200NW"      
661210  |"HIP  17499"                        
661210  |"NAME Electra"                      
661336  |"Gaia DR3 65287458566524928"        
661336  |"HIP  17489"                        
661336  |"NAME Celaeno"                      
661336  |"NAME Celeno"                       
662580  |"Gaia DR3 41655277193431936"        
662580  |"NAME IRAS 03359+1523W"             
665505  |"Gaia DR3 5164120762333028736"      
665505  |"HIP  17378"                        
665505  |"NAME Rana"                         
669415  |"Gaia DR3 4860294324842097792"      
669415  |"NAME UCD31"                        
669415  |"NAME UCD-FORS 48"                  
670538  |"Gaia DR3 4860293779382565504"      
670538  |"NAME UCD-FORS 81"                  
670660  |"Gaia DR3 4860387439732167936"      
670660  |"NAME UCD-FORS 1"                   
670909  |"Gaia DR3 4860297520297524864"      
670909  |"NAME UCD-FORS 32"                  
670909  |"NAME UCD6"                         
670921  |"Gaia DR3 4860297623376754560"      
670921  |"NAME UCDm"                         
670921  |"NAME UCD-FORS 36"                  
670930  |"Gaia DR3 4860297176700385408"      
670930  |"NAME UCD28"                        
670930  |"NAME UCD-FORS 45"                  
674152  |"NAME Taygeta"                      
674152  |"HIP  17531"                        
674152  |"NAME Taygete"                      
674168  |"Gaia DR3 66798496781121792"        
674168  |"HIP  17579"                        
674168  |"NAME Asterope"                     
674364  |"HIP  17573"                        
674364  |"NAME Maia"                         
674606  |"Gaia DR3 67538914783165696"        
674606  |"NAME LP 357-64b"                   
674607  |"Gaia DR3 67538983502641536"        
674607  |"NAME LP 357-64c"                   
675803  |"HIP  17608"                        
675803  |"NAME Merope"                       
675903  |"HIP  17847"                        
675903  |"NAME Atlas"                        
676291  |"Gaia DR3 66529975427235712"        
676291  |"HIP  17851"                        
676291  |"NAME Pleione"                      
